"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
576,"10.1007/s10531-023-02700-0","7948; 76797","430634; 4061181","430697; 4061244"
636,"10.1038/s41429-023-00647-6","8015; 76868","434418; 4064928","434462; 4064972"
657,"10.1111/jph.13212","8192; 76894","444104; 4066265","444155; 4066316"
476,"10.1007/s42729-023-01394-1","8371; 76685","453521; 4055366","453566; 4055411"
177,"10.1007/s10493-023-00821-3","8373; 76359","453622; 4038343","453663; 4038384"
288,"10.1111/gcb.16861","8567; 76485","464337; 4044764","464388; 4044815"
467,"10.1007/s13399-023-04582-2","8590; 76674","465604; 4054805","465654; 4054855"
677,"10.1007/s10341-023-00918-4","8804; 76916","477364; 4067350","477417; 4067403"
645,"10.1111/1365-2664.14443","8827; 76879","478622; 4065453","478677; 4065508"
300,"10.1111/gcb.16814","8937; 76497","484787; 4045372","484838; 4045423"
104,"10.1007/s10530-023-03108-1","8965; 76279","486235; 4033975","486279; 4034019"
659,"10.1038/s41429-023-00633-y","9057; 76896","491410; 4066370","491450; 4066410"
93,"10.1016/j.dib.2023.109286","9124; 76268","495167; 4033415","495208; 4033456"
253,"10.1094/PBIOMES-12-22-0105","9456; 76446","513538; 4042856","513583; 4042901"
651,"10.1038/s41429-023-00627-w","9477; 76886","514696; 4065837","514743; 4065884"
587,"10.1111/aec.13347","9576; 76809","520132; 4061799","520182; 4061849"
609,"10.1007/s40858-023-00582-9","9603; 76833","521651; 4063068","521713; 4063130"
207,"10.1086/724224","9801; 76396","532629; 4040258","532672; 4040301"
639,"10.1007/s11676-023-01609-2","9967; 76872","541713; 4065122","541757; 4065166"
95,"10.5194/essd-15-1655-2023","10007; 76270","543867; 4033495","543911; 4033539"
685,"10.1094/PHYTO-11-22-0411","10342; 76926","561899; 4067916","561950; 4067967"
498,"10.1007/s10668-023-03130-2","10498; 76707","570596; 4056533","570646; 4056583"
556,"10.1002/etc.5577","10521; 76773","571892; 4059893","571958; 4059959"
23,"10.1186/s43170-023-00146-6","10555; 76198","573795; 4028298","573899; 4028402"
514,"10.1007/s40995-023-01431-9","10610; 76726","576855; 4057502","576894; 4057541"
326,"10.1007/s11104-023-05973-0","10632; 76524","578068; 4046795","578122; 4046849"
432,"10.1086/722569","10784; 76637","586337; 4052783","586391; 4052837"
277,"10.1086/724015","10850; 76474","589789; 4044215","589846; 4044272"
529,"10.1094/PBIOMES-09-22-0060-R","10872; 76743","590960; 4058334","591014; 4058388"
533,"10.1021/acs.est.2c08855","10948; 76747","595158; 4058531","595209; 4058582"
452,"10.1021/acsomega.2c06665","11151; 76659","606238; 4053996","606285; 4054043"
7,"10.1111/gcb.16540","11361; 12559; 76364","617800; 683479; 4038615","617848; 683524; 4038660"
555,"10.1139/cjm-2022-0181","11487; 76772","624813; 4059840","624865; 4059892"
387,"10.1093/jambio/lxac084","11543; 76590","627905; 4050302","627957; 4050354"
115,"10.1007/s11676-022-01581-3","11547; 76291","628129; 4034623","628175; 4034669"
334,"10.1093/jambio/lxad006","11566; 76533","629071; 4047240","629130; 4047299"
575,"10.1139/cjfas-2022-0127","11618; 76796","631970; 4061127","632023; 4061180"
656,"10.1111/1365-2745.14049","11622; 76892","632198; 4066162","632247; 4066211"
325,"10.1007/s00253-023-12363-0","11637; 76523","633015; 4046738","633071; 4046794"
561,"10.1093/jambio/lxac070","12333; 76780","670926; 4060325","670975; 4060374"
70,"10.1016/j.dib.2022.108805","12350; 76245","671853; 4032283","671895; 4032325"
252,"10.1080/09593330.2022.2154172","12430; 76444","676422; 4042759","676468; 4042805"
105,"10.1111/1365-2745.14053","12438; 76280","676823; 4034020","676871; 4034068"
199,"10.1111/1365-2745.14051","12462; 76386","678149; 4039747","678214; 4039812"
6,"10.1016/j.indcrop.2022.116037","12489; 12490","679657; 679709","679708; 679760"
100,"10.1016/j.dib.2022.108614","12530; 76275","681824; 4033729","681861; 4033766"
152,"10.1111/1365-2745.14040","12692; 76333","690474; 4036928","690526; 4036980"
9,"10.22207/JPAM.16.4.06","12701; 14669; 76844","690938; 797192; 4063663","690979; 797231; 4063702"
123,"10.1007/s10531-022-02511-9","12749; 76300","693546; 4035129","693602; 4035185"
371,"10.15666/aeer/2101_735752","12924; 76573","703450; 4049426","703501; 4049477"
400,"10.15666/aeer/2101_753769","12925; 76604","703502; 4051060","703542; 4051100"
348,"10.1139/CJSS-2021-0208","12988; 76548","707032; 4048051","707076; 4048095"
157,"10.1002/ldr.70160","13024; 76338","708908; 4037190","708959; 4037241"
443,"10.1007/s11104-025-07799-4","13031; 76649","709267; 4053479","709316; 4053528"
232,"10.1007/s11104-025-07812-w","13033; 76424","709370; 4041686","709419; 4041735"
317,"10.1080/09593330.2025.2550674","13042; 76515","709783; 4046305","709827; 4046349"
321,"10.1007/s13580-025-00756-1","13059; 76519","710661; 4046524","710714; 4046577"
513,"10.1007/s10725-025-01383-7","13060; 76725","710715; 4057451","710765; 4057501"
159,"10.1007/s42823-025-00962-y","13062; 76340","710824; 4037301","710871; 4037348"
565,"10.1007/s41748-025-00760-6","13063; 76785","710872; 4060554","710920; 4060602"
547,"10.1007/s11104-025-07782-z","13065; 76764","710976; 4059406","711030; 4059460"
129,"10.1007/s11104-025-07794-9","13081; 76307","711884; 4035511","711943; 4035570"
557,"10.1111/cobi.70133","13090; 76774","712388; 4059960","712472; 4060044"
449,"10.1007/s11104-025-07802-y","13097; 76656","712798; 4053832","712837; 4053871"
416,"10.1007/s11104-025-07824-6","13098; 76621","712838; 4051958","712886; 4052006"
8,"10.1038/s41598-025-14953-6","13099; 13104","712887; 713127","712947; 713185"
357,"10.1007/s11104-025-07800-0","13112; 76558","713577; 4048580","713616; 4048619"
278,"10.1002/ldr.70155","13114; 76475","713663; 4044273","713707; 4044317"
224,"10.1002/ldr.70146","13132; 76416","714674; 4041280","714717; 4041323"
564,"10.1080/10256016.2025.2546139","13168; 76784","716557; 4060499","716611; 4060553"
511,"10.1007/s11104-025-07741-8","13170; 76722","716671; 4057302","716724; 4057355"
316,"10.1007/s11104-025-07795-8","13171; 76514","716725; 4046257","716772; 4046304"
450,"10.1002/ps.70135","13184; 76657","717375; 4053872","717428; 4053925"
343,"10.1007/s11104-025-07820-w","13191; 76543","717774; 4047739","717838; 4047803"
543,"10.1002/ldr.70144","13199; 76758","718245; 4059078","718313; 4059146"
295,"10.25252/SE/2025/253852","13204; 76492","718518; 4045119","718561; 4045162"
491,"10.1007/s11104-025-07804-w","13206; 76700","718603; 4056181","718643; 4056221"
397,"10.1007/s11104-025-07754-3","13207; 76600","718644; 4050843","718690; 4050889"
319,"10.1007/s11104-025-07750-7","13247; 76517","720700; 4046413","720759; 4046472"
150,"10.1002/ldr.70131","13248; 76331","720760; 4036818","720808; 4036866"
234,"10.22207/JPAM.19.3.17","13252; 76426","720959; 4041784","720996; 4041821"
508,"10.1007/s10811-025-03632-8","13259; 76718","721331; 4057097","721377; 4057143"
435,"10.1093/treephys/tpaf079","13289; 76640","722958; 4052940","723036; 4053018"
599,"10.1093/forestry/cpaf050","13290; 76822","723037; 4062511","723082; 4062556"
135,"10.1007/s11104-025-07762-3","13293; 76315","723187; 4035948","723242; 4036003"
510,"10.1007/s42770-025-01760-4","13297; 76721","723391; 4057259","723433; 4057301"
570,"10.1007/s11104-025-07757-0","13315; 76790","724314; 4060827","724365; 4060878"
383,"10.1007/s42976-025-00699-4","13334; 76586","725324; 4050076","725380; 4050132"
290,"10.1007/s11104-025-07778-9","13335; 76487","725381; 4044860","725425; 4044904"
308,"10.1017/S0376892925100131","13337; 76506","725477; 4045865","725520; 4045908"
307,"10.1093/jxb/eraf296","13354; 76505","726336; 4045795","726405; 4045864"
286,"10.1007/s11104-025-07722-x","13361; 76483","726714; 4044661","726775; 4044722"
402,"10.1080/15320383.2025.2540009","13362; 76606","726776; 4051165","726825; 4051214"
166,"10.1007/s11104-025-07769-w","13371; 76347","727264; 4037685","727329; 4037750"
358,"10.1007/s11104-025-07777-w","13385; 76559","728081; 4048620","728130; 4048669"
419,"10.1002/ldr.70115","13407; 76624","729187; 4052108","729244; 4052165"
465,"10.1002/ldr.70117","13408; 76672","729245; 4054696","729300; 4054751"
618,"10.1080/09670874.2025.2542765","13413; 76843","729494; 4063613","729543; 4063662"
635,"10.1080/03949370.2025.2511622","13424; 76867","730116; 4064878","730165; 4064927"
346,"10.1111/pce.70092","13425; 76546","730166; 4047929","730204; 4047967"
242,"10.1002/jpln.70010","13427; 76434","730244; 4042183","730302; 4042241"
629,"10.1094/PHYTO-02-25-0081-R","13436; 76861","730710; 4064546","730759; 4064595"
303,"10.1007/s11104-025-07748-1","13499; 76501","733997; 4045594","734046; 4045643"
118,"10.1007/s11104-025-07735-6","13501; 76295","734105; 4034809","734161; 4034865"
218,"10.1002/ldr.70104","13640; 76409","741516; 4040916","741568; 4040968"
257,"10.1002/ldr.70109","13641; 76451","741569; 4043102","741623; 4043156"
332,"10.1007/s11104-025-07732-9","13642; 76531","741624; 4047137","741672; 4047185"
379,"10.1111/1365-2435.70124","13657; 76582","742404; 4049871","742452; 4049919"
333,"10.1007/s11104-025-07746-3","13660; 76532","742575; 4047186","742628; 4047239"
291,"10.1007/s11104-025-07737-4","13662; 76488","742678; 4044905","742728; 4044955"
431,"10.1007/s10668-025-06578-6","13666; 76636","742897; 4052741","742938; 4052782"
426,"10.1002/ldr.70073","13679; 76631","743552; 4052433","743606; 4052487"
299,"10.1007/s11104-025-07725-8","13681; 76496","743666; 4045321","743716; 4045371"
116,"10.1007/s11104-025-07720-z","13716; 76293","745375; 4034712","745423; 4034760"
401,"10.1080/23818107.2025.2529890","13734; 76605","746298; 4051101","746361; 4051164"
216,"10.1007/s11368-025-04096-6","13739; 76407","746579; 4040808","746620; 4040849"
616,"10.1002/cbdv.202500656","13740; 76841","746621; 4063504","746668; 4063551"
638,"10.1111/ibi.13428","13779; 76870","748977; 4065023","749026; 4065072"
131,"10.1007/s11104-025-07727-6","13797; 76309","749917; 4035625","749967; 4035675"
439,"10.1007/s11368-025-04089-5","13801; 76644","750153; 4053159","750194; 4053200"
147,"10.1007/s11104-025-07687-x","13803; 76328","750259; 4036688","750302; 4036731"
417,"10.15244/pjoes/204422","13805; 76622","750375; 4052007","750424; 4052056"
647,"10.1002/ldr.70059","13817; 76881","750998; 4065577","751063; 4065642"
500,"10.1111/pbr.70010","13819; 76710","751118; 4056683","751167; 4056732"
625,"10.1080/07060661.2025.2523435","13831; 76857","751782; 4064324","751837; 4064379"
550,"10.1007/s10336-025-02312-1","13841; 76767","752309; 4059577","752361; 4059629"
482,"10.1093/aob/mcaf129","13843; 76691","752414; 4055732","752470; 4055788"
361,"10.1002/ldr.70068","13855; 76562","753048; 4048782","753098; 4048832"
305,"10.1007/s11104-025-07657-3","13907; 76503","755826; 4045708","755874; 4045756"
344,"10.1007/s11104-025-07701-2","13908; 76544","755875; 4047804","755930; 4047859"
329,"10.1002/ppp3.70068","13930; 76528","757071; 4046998","757122; 4047049"
119,"10.1093/biosci/biaf097","13932; 76296","757173; 4034866","757290; 4034983"
284,"10.1111/pce.70063","13940; 76481","757665; 4044550","757719; 4044604"
454,"10.1007/s11104-025-07679-x","13951; 76661","758267; 4054094","758323; 4054150"
269,"10.1002/ldr.70058","13953; 76465","758369; 4043771","758421; 4043823"
374,"10.1080/1065657X.2025.2532374","13971; 76576","759335; 4049577","759389; 4049631"
626,"10.1007/s11104-025-07674-2","13980; 76858","759770; 4064380","759823; 4064433"
394,"10.1007/s11104-025-07684-0","13983; 76597","759926; 4050672","759973; 4050719"
445,"10.1007/s11104-025-07697-9","13984; 76651","759974; 4053580","760035; 4053641"
122,"10.1007/s11104-025-07670-6","13989; 76299","760235; 4035079","760284; 4035128"
579,"10.1007/s40003-025-00870-7","13992; 76800","760379; 4061346","760425; 4061392"
378,"10.15666/aeer/2101_243259","14012; 76580","761472; 4049784","761507; 4049819"
637,"10.1080/03067319.2022.2139617","14336; 76869","778829; 4064973","778878; 4065022"
301,"10.1021/acs.jafc.2c05612","14401; 76499","782461; 4045489","782522; 4045550"
72,"10.1038/s41597-022-01717-4","14483; 76247","786968; 4032370","787009; 4032411"
340,"10.1017/S0266467422000384","14574; 76539","792022; 4047537","792088; 4047603"
65,"10.3897/BDJ.10.e82518","14672; 76240","797337; 4032036","797389; 4032088"
623,"10.1021/acs.jafc.2c03126","15003; 76852","815009; 4064096","815055; 4064142"
266,"10.1139/CJSS-2021-0106","15114; 76462","821115; 4043625","821156; 4043666"
390,"10.1139/cjm-2022-0102","15560; 76593","845882; 4050472","845929; 4050519"
611,"10.1021/acs.est.2c02207","15725; 76835","855081; 4063185","855142; 4063246"
535,"10.1139/cjm-2022-0093","15732; 76749","855491; 4058640","855538; 4058687"
10,"10.1016/j.envpol.2022.119363","15780; 17376","858122; 946051","858178; 946108"
258,"10.1017/S0266467422000323","16083; 76452","874683; 4043157","874731; 4043205"
522,"10.1139/cjfr-2022-0097","16101; 76734","875732; 4057906","875784; 4057958"
458,"10.1021/acs.jafc.2c01630","16117; 76665","876606; 4054303","876660; 4054357"
602,"10.1021/acsestwater.2c00098","16118; 76825","876661; 4062655","876713; 4062707"
62,"10.1016/j.dib.2022.108434","16150; 76237","878407; 4031910","878441; 4031944"
622,"10.1021/acs.est.2c01432","16492; 76851","897202; 4064026","897271; 4064095"
60,"10.1038/s41597-022-01420-4","16550; 76235","900481; 4031835","900520; 4031874"
97,"10.1016/j.dib.2022.108350","16620; 76272","904637; 4033586","904680; 4033629"
61,"10.1016/j.dib.2022.108207","17238; 76236","938684; 4031875","938718; 4031909"
85,"10.1016/j.dib.2022.108205","17385; 76260","946567; 4032988","946607; 4033028"
351,"10.1007/s11104-022-05444-y","17444; 76551","949961; 4048198","950027; 4048264"
596,"10.1111/1462-2920.15979","17582; 76818","957716; 4062308","957768; 4062360"
92,"10.1016/j.dib.2022.108106","17602; 76267","958764; 4033379","958799; 4033414"
77,"10.1016/j.dib.2022.108108","17620; 76252","959689; 4032616","959727; 4032654"
553,"10.1007/s11356-022-19394-6","18341; 76770","999283; 4059740","999332; 4059789"
604,"10.1007/s11356-022-19395-5","18352; 76828","999873; 4062792","999921; 4062840"
20,"10.3897/BDJ.10.e76968","18400; 76195","1002512; 4028085","1002573; 4028146"
41,"10.3897/BDJ.10.e73909","18444; 76216","1005070; 4030537","1005123; 4030590"
185,"10.1017/S1742170521000545","18500; 76369","1008138; 4038876","1008184; 4038922"
51,"10.1111/1440-1703.12293","18797; 76226","1024523; 4031101","1024697; 4031275"
90,"10.1016/j.dib.2022.107798","19105; 76265","1041587; 4033215","1041628; 4033256"
34,"10.1002/ecy.3580","19703; 76209","1072236; 4029232","1072739; 4029735"
49,"10.3897/BDJ.9.e71292","19807; 76224","1078420; 4030991","1078467; 4031038"
74,"10.1016/j.dib.2021.107636","20041; 76249","1091614; 4032459","1091649; 4032494"
25,"10.3897/BDJ.9.e75466","20071; 76200","1093244; 4028446","1093294; 4028496"
63,"10.3897/BDJ.9.e75586","20153; 76238","1097885; 4031945","1097930; 4031990"
26,"10.1016/j.dib.2021.107493","20470; 76201","1115249; 4028497","1115287; 4028535"
89,"10.1016/j.dib.2021.107443","20568; 76264","1120725; 4033174","1120765; 4033214"
297,"10.1007/s00248-021-01853-1","21116; 76494","1151142; 4045208","1151199; 4045265"
38,"10.1016/j.dib.2021.107284","21502; 76213","1172461; 4030382","1172494; 4030415"
578,"10.1080/03235408.2021.1968269","21529; 76799","1174015; 4061294","1174066; 4061345"
660,"10.1002/cft2.20109","22327; 76897","1218328; 4066411","1218360; 4066443"
98,"10.1093/gigascience/giab035","22895; 76273","1250238; 4033630","1250298; 4033690"
37,"10.1038/s41597-021-00912-z","22897; 76212","1250348; 4029827","1250902; 4030381"
456,"10.1007/s11104-025-07678-y","24011; 76663","1312516; 4054211","1312558; 4054253"
205,"10.1007/s11104-025-07241-9","24012; 76393","1312559; 4040113","1312611; 4040165"
330,"10.1007/s00709-025-02089-3","24037; 76529","1313868; 4047050","1313910; 4047092"
125,"10.1007/s42974-025-00253-6","24045; 76303","1314312; 4035284","1314360; 4035332"
453,"10.1007/s11104-025-07664-4","24050; 76660","1314619; 4054044","1314668; 4054093"
211,"10.1007/s11104-025-07692-0","24051; 76400","1314669; 4040467","1314718; 4040516"
236,"10.1002/ldr.70063","24059; 76428","1315053; 4041883","1315093; 4041923"
281,"10.1007/s11104-025-07680-4","24065; 76478","1315360; 4044408","1315409; 4044457"
245,"10.1007/s42974-025-00260-7","24087; 76437","1316559; 4042345","1316597; 4042383"
137,"10.1007/s11104-025-07677-z","24089; 76317","1316648; 4036118","1316713; 4036183"
206,"10.15244/pjoes/205066","24092; 76394","1316805; 4040166","1316850; 4040211"
475,"10.1007/s12033-025-01463-z","24107; 76684","1317561; 4055315","1317611; 4055365"
117,"10.1007/s11104-025-07672-4","24133; 76294","1318887; 4034761","1318934; 4034808"
200,"10.1002/ppp3.70065","24134; 76387","1318935; 4039813","1318980; 4039858"
668,"10.1007/s00338-025-02706-w","24195; 76907","1322176; 4066902","1322225; 4066951"
365,"10.1111/pce.70019","24200; 76567","1322441; 4049080","1322509; 4049148"
320,"10.1007/s11104-025-07665-3","24282; 76518","1326719; 4046473","1326769; 4046523"
312,"10.15244/pjoes/203357","24287; 76510","1327020; 4046068","1327070; 4046118"
191,"10.1007/s11104-025-07656-4","24300; 76376","1327690; 4039230","1327747; 4039287"
251,"10.1007/s11104-025-07573-6","24310; 76443","1328190; 4042709","1328239; 4042758"
170,"10.1093/cz/zoaf025","24339; 76352","1329776; 4037984","1329827; 4038035"
663,"10.1111/pce.70004","24358; 76900","1330735; 4066535","1330797; 4066597"
568,"10.1007/s11104-025-07643-9","24365; 76788","1331131; 4060715","1331186; 4060770"
488,"10.1007/s11104-025-07631-z","24386; 76697","1332194; 4056025","1332249; 4056080"
654,"10.1007/s11427-024-2853-x","24387; 76889","1332250; 4065984","1332298; 4066032"
542,"10.1007/s11104-025-07630-0","24393; 76757","1332569; 4059023","1332623; 4059077"
437,"10.1111/icad.12852","24394; 76642","1332624; 4053065","1332674; 4053115"
505,"10.1007/s11104-025-07628-8","24409; 76715","1333346; 4056940","1333402; 4056996"
164,"10.1007/s11104-025-07600-6","24410; 76345","1333403; 4037549","1333456; 4037602"
172,"10.1007/s11104-025-07622-0","24411; 76354","1333457; 4038085","1333499; 4038127"
592,"10.1007/s40831-025-01143-x","24424; 76814","1334125; 4062057","1334183; 4062115"
464,"10.1007/s00374-025-01927-z","24426; 76671","1334221; 4054632","1334284; 4054695"
160,"10.1007/s11104-025-07603-3","24466; 76341","1336289; 4037349","1336342; 4037402"
404,"10.1007/s11104-025-07626-w","24484; 76608","1337214; 4051269","1337255; 4051310"
395,"10.1093/aob/mcaf033","24491; 76598","1337574; 4050720","1337643; 4050789"
112,"10.1007/s11104-025-07616-y","24503; 76287","1338228; 4034396","1338277; 4034445"
186,"10.1007/s11104-025-07606-0","24504; 76370","1338278; 4038923","1338338; 4038983"
158,"10.1007/s11104-025-07604-2","24511; 76339","1338658; 4037242","1338716; 4037300"
403,"10.1007/s11104-025-07607-z","24535; 76607","1339844; 4051215","1339897; 4051268"
311,"10.1007/s11104-025-07605-1","24538; 76509","1340005; 4046016","1340056; 4046067"
487,"10.1007/s11104-025-07601-5","24539; 76696","1340057; 4055976","1340105; 4056024"
337,"10.1007/s11104-025-07595-0","24549; 76536","1340524; 4047392","1340583; 4047451"
650,"10.1007/s40009-025-01685-4","24559; 76885","1341085; 4065790","1341131; 4065836"
434,"10.1007/s11104-025-07572-7","24560; 76639","1341132; 4052885","1341186; 4052939"
531,"10.1007/s00040-025-01042-0","24571; 76745","1341720; 4058435","1341769; 4058484"
235,"10.1007/s42965-025-00389-6","24577; 76427","1342043; 4041822","1342103; 4041882"
50,"10.1016/j.dib.2025.111646","24652; 76225","1346111; 4031039","1346172; 4031100"
504,"10.1111/rec.70098","24673; 76714","1347274; 4056881","1347332; 4056939"
671,"10.1007/s13369-025-10302-x","24788; 76910","1353233; 4067065","1353263; 4067095"
571,"10.1007/s11104-025-07580-7","24797; 76791","1353690; 4060879","1353736; 4060925"
499,"10.1007/s11104-025-07581-6","24812; 76708","1354413; 4056584","1354459; 4056630"
372,"10.1007/s11104-025-07574-5","24826; 76574","1355134; 4049478","1355183; 4049527"
315,"10.1007/s12649-025-02998-7","24827; 76513","1355184; 4046209","1355231; 4046256"
634,"10.1111/1755-0998.14122","24871; 76866","1357532; 4064814","1357595; 4064877"
673,"10.22207/JPAM.19.2.30","24877; 76912","1357842; 4067144","1357896; 4067198"
613,"10.1007/s11104-025-07562-9","24884; 76838","1358247; 4063363","1358299; 4063415"
447,"10.1002/gj.5199","24936; 76653","1360878; 4053681","1360930; 4053733"
59,"10.3897/BDJ.13.e151722","24939; 76234","1361045; 4031792","1361087; 4031834"
536,"10.1007/s11104-025-07536-x","24950; 76750","1361663; 4058688","1361711; 4058736"
341,"10.1017/S0954102025000094","24980; 76541","1363241; 4047645","1363288; 4047692"
21,"10.1186/s13104-021-05468-0","25525; 76196","1393577; 4028147","1393675; 4028245"
22,"10.1038/s41597-020-00738-1","27256; 76197","1486375; 4028246","1486426; 4028297"
619,"10.1080/09583157.2020.1846160","27313; 76848","1489580; 4063870","1489633; 4063923"
55,"10.3897/BDJ.8.e58951","27606; 76230","1505567; 4031618","1505614; 4031665"
68,"10.1016/j.dib.2020.106288","27855; 76243","1519424; 4032208","1519462; 4032246"
78,"10.1186/s13104-020-05247-3","28258; 76253","1541677; 4032655","1541714; 4032692"
40,"10.1016/j.dib.2020.105718","28707; 76215","1566196; 4030491","1566241; 4030536"
30,"10.1016/j.dib.2020.105663","28708; 76205","1566242; 4029056","1566297; 4029111"
80,"10.1016/j.dib.2020.106143","28784; 76255","1570340; 4032728","1570394; 4032782"
75,"10.1038/s41597-020-0567-7","29005; 76250","1582283; 4032495","1582362; 4032574"
57,"10.1016/j.dib.2020.105467","29522; 76232","1610613; 4031699","1610662; 4031748"
83,"10.1016/j.dib.2020.105625","29523; 76258","1610663; 4032899","1610713; 4032949"
84,"10.1016/j.dib.2020.105542","29525; 76259","1610768; 4032950","1610805; 4032987"
79,"10.1016/j.dib.2020.105112","30304; 76254","1653490; 4032693","1653524; 4032727"
19,"10.1016/j.dib.2020.105263","30348; 76194","1655839; 4028033","1655890; 4028084"
52,"10.1038/s41597-020-0437-3","30453; 76227","1661654; 4031276","1661901; 4031523"
31,"10.1038/s41597-020-0422-x","30550; 76206","1667258; 4029112","1667298; 4029152"
43,"10.1038/s41597-020-0375-0","30992; 76218","1691478; 4030632","1691532; 4030686"
69,"10.1016/j.dib.2019.104916","31031; 76244","1693653; 4032247","1693688; 4032282"
94,"10.1016/j.dib.2019.104802","31032; 76269","1693689; 4033457","1693726; 4033494"
24,"10.1016/j.dib.2019.104973","31033; 76199","1693727; 4028403","1693769; 4028445"
86,"10.1016/j.dib.2019.104919","31034; 76261","1693770; 4033029","1693810; 4033069"
58,"10.1016/j.dib.2019.104658","32192; 76233","1755188; 4031749","1755230; 4031791"
45,"10.1016/j.dib.2019.104575","32193; 76220","1755231; 4030738","1755270; 4030777"
88,"10.1016/j.dib.2019.104574","32194; 76263","1755271; 4033126","1755318; 4033173"
87,"10.1038/s41597-019-0222-3","32924; 76262","1795497; 4033070","1795552; 4033125"
82,"10.1038/s41597-019-0218-z","32925; 76257","1795553; 4032833","1795618; 4032898"
29,"10.1016/j.dib.2019.104434","33051; 76204","1802310; 4029012","1802353; 4029055"
76,"10.1016/j.dib.2019.104396","33052; 76251","1802354; 4032575","1802394; 4032615"
53,"10.3897/BDJ.7.e35332","33340; 76228","1818777; 4031524","1818832; 4031579"
42,"10.1016/j.dib.2019.103982","33724; 76217","1840099; 4030591","1840139; 4030631"
67,"10.1016/j.dib.2019.104045","33725; 76242","1840140; 4032169","1840178; 4032207"
66,"10.1038/s41597-019-0141-3","33953; 76241","1852547; 4032089","1852626; 4032168"
410,"10.1080/10889868.2025.2504148","35055; 76614","1913319; 4051581","1913365; 4051627"
630,"10.2174/0109298673367163250417065816","35076; 76862","1914372; 4064596","1914431; 4064655"
509,"10.1111/1755-0998.14118","35238; 76719","1923011; 4057144","1923079; 4057212"
352,"10.1007/s00374-025-01919-z","35242; 76552","1923236; 4048265","1923281; 4048310"
209,"10.1007/s11104-025-07485-5","35244; 76398","1923340; 4040353","1923388; 4040401"
354,"10.1111/rec.70078","35261; 76554","1924258; 4048370","1924312; 4048424"
233,"10.1007/s11104-025-07486-4","35311; 76425","1926972; 4041736","1927019; 4041783"
560,"10.1111/mec.17769","35351; 76779","1929134; 4060252","1929206; 4060324"
296,"10.1007/s00374-025-01916-2","35413; 76493","1932412; 4045163","1932456; 4045207"
171,"10.1007/s10668-025-06204-5","35451; 76353","1934482; 4038036","1934530; 4038084"
213,"10.1007/s11104-025-07441-3","35498; 76404","1936987; 4040666","1937043; 4040722"
463,"10.1007/s11104-025-07445-z","35499; 76670","1937044; 4054572","1937103; 4054631"
584,"10.1007/s11104-025-07451-1","35525; 76805","1938482; 4061585","1938538; 4061641"
566,"10.1007/s11104-025-07415-5","35667; 76786","1946005; 4060603","1946054; 4060652"
481,"10.1007/s12033-025-01425-5","35672; 76690","1946279; 4055684","1946326; 4055731"
181,"10.1007/s00374-025-01913-5","35851; 76365","1956076; 4038661","1956131; 4038716"
484,"10.1007/s12223-025-01257-5","35852; 76693","1956132; 4055825","1956185; 4055878"
407,"10.1111/1749-4877.12970","35938; 76611","1960784; 4051405","1960838; 4051459"
274,"10.1007/s11104-025-07391-w","35947; 76471","1961263; 4044070","1961315; 4044122"
283,"10.1007/s11104-025-07396-5","35969; 76480","1962517; 4044505","1962561; 4044549"
56,"10.1016/j.dib.2019.103790","36115; 76231","1970596; 4031666","1970628; 4031698"
71,"10.1038/sdata.2019.8","36764; 76246","2006007; 4032326","2006050; 4032369"
54,"10.1016/j.dib.2018.12.028","36861; 76229","2011252; 4031580","2011289; 4031617"
35,"10.1002/ecy.2374","39081; 76210","2131952; 4029736","2131999; 4029783"
96,"10.1002/ecy.2167","40000; 76271","2182999; 4033540","2183044; 4033585"
28,"10.1038/sdata.2017.92","42515; 76203","2320200; 4028968","2320243; 4029011"
101,"10.5194/essd-9-445-2017","42523; 76276","2320603; 4033767","2320656; 4033820"
81,"Plant parasitic nematode survival and detection to inform biosecurity risk assessment|2017","42748; 76256","2333052; 4032783","2333101; 4032832"
47,"10.1038/sdata.2016.84","45138; 76222","2461733; 4030815","2461772; 4030854"
384,"10.1080/01431161.2025.2464958","46005; 76587","2507963; 4050133","2508030; 4050200"
366,"10.1007/s11104-025-07368-9","46008; 76568","2508145; 4049149","2508194; 4049198"
15,"10.15666/aeer/2303_41674181","46063; 57599; 76871","2511086; 3119211; 4065073","2511134; 3119260; 4065121"
287,"10.15244/pjoes/200219","46085; 76484","2512279; 4044723","2512319; 4044763"
641,"10.1111/azo.12543","46288; 76874","2523072; 4065213","2523121; 4065262"
227,"10.1007/s11104-025-07320-x","46348; 76419","2526309; 4041422","2526357; 4041470"
310,"10.1017/S0021859625000097","46539; 76508","2536646; 4045956","2536705; 4046015"
130,"10.1007/s11104-024-07005-x","46708; 76308","2546119; 4035571","2546172; 4035624"
188,"10.1007/s11104-025-07281-1","46720; 76372","2546743; 4039023","2546793; 4039073"
468,"10.1007/s11104-025-07285-x","46741; 76675","2547813; 4054856","2547866; 4054909"
621,"10.1111/pce.15429","46754; 76850","2548550; 4063977","2548598; 4064025"
359,"10.1007/s11104-025-07268-y","46773; 76560","2549573; 4048670","2549627; 4048724"
364,"10.1007/s12033-025-01367-y","46850; 76565","2553690; 4048934","2553737; 4048981"
